RespondentID,Country,A3.1,A3.2,A3.3,A3.4,A3.5,A3.6,A3.7,A3.8,A3.9,A3.10,A5.1,A5.2,A5.3,A5.4,A5.5,A6.1,A7.1,A7.2,A9.1,A9.2,A9.3,A9.4,A9.5,A9.6,A9.7,A9.8,A11.1,A11.2,A11.3,A11.4,A12.1,A12.2,A12.3,A12.4,A13.1,A13.2,A13.3,A13.4,A14.1,A14.2,A14.3,A14.4,A16.1,A16.2,A16.3,A16.4,A16.5,A16.6,A17.1,A17.2,A17.3,A17.4,A17.5,A17.6,A17.7,A17.8,A17.9,A17.10,A17.11,A17.12,A18.1,A20.1,A20.2,A20.3,A21.1,A21.2,A22.1,A22.2,A23.1,A23.2,A23.3,A24.1,A24.2,A24.3,A24.4,A24.5,A24.6,A25.1,A25.2,A27.1,A27.2,A27.3,A27.4,A27.5,A27.6,A27.7,A27.8,A27.9,A27.10,A27.11,A29.1,A29.2,A29.3,A29.4,A29.5,A29.6,A29.7,A29.8,A29.9,A31.1,A31.2,A31.3,A31.4,A31.5,A31.6,A31.7,A31.8,A31.9,A32.1,A32.2,A34.1,A34.2,A34.3,A34.4,A36.1,A36.2,A36.3,A36.4,A36.5,A36.6,A38.1,A38.2,A38.3,A38.4,A38.5,A40.1,A40.2,A40.3,A40.4,A40.5,A40.6,A40.7,A40.8,A40.9,A40.10,A40.11
1,1,2,3,52,52,4,1,5,12,1,4,7,3,1,3,8,7,2,2,2,1,1,3,3,2,5,1,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,2,5,2,9,9,7,7,5,2,2,5,3,2,6,10,8,9,7,7,5,7,7,5,4,2,3,7,6,6,6,5,5,5,4,4,1,1,1,4,5,2,4,2,5,5,7,7,5,5,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,4,1,1,1,1,1,2,2,4,5,7,7,1,6,6,4,1,7,1,2,4,7,5,7,5,7,7,6,1,3,7
2,1,2,5,52,52,3,1,8,2,5,2,10,10,1,8,1,5,2,2,4,3,4,6,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,8,2,2,10,9,9,9,8,9,6,5,1,1,1,2,9,8,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,2,6,2,2,1,7,1,7,7,2,6,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,1,1,10,6,6,4,6,1,1,1,5,4,1,1,7,7,1,1,7,7,6,7,7,7,7,7,7,1,7
3,1,1,4,94,94,4,1,5,2,1,4,10,10,1,10,7,6,2,2,5,4,3,7,4,7,7,7,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,7,7,7,3,10,10,8,10,6,8,10,10,10,7,10,4,10,9,5,7,5,7,6,3,5,6,7,7,5,7,7,7,4,2,7,10,6,7,7,7,6,5,5,7,7,5,7,5,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,10,5,2,6,4,1,3,2,6,6,1,1,5,2,6,2,6,7,7,7,7,7,7,7,7,7,7,7
4,1,1,2,221,221,1,1,10,3,4,5,8,8,9,7,7,8,4,4,7,6,5,6,7,7,6,6,2,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,7,8,2,2,8,8,8,8,9,8,7,9,7,8,7,2,8,8,5,7,7,6,7,6,6,7,7,6,7,6,7,6,7,6,5,7,8,7,6,7,7,6,6,6,5,7,7,6,5,7,6,6,7,7,6,7,6,6,7,7,6,5,7,6,6,4,8,9,7,7,7,6,6,5,7,7,7,6,7,6,6,7,7,5,6,6,4,5,7,6,7,7,6,7
5,1,1,3,52,52,3,1,8,2,0,6,7,7,2,6,3,7,1,1,1,1,5,3,5,1,1,6,1,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,6,2,4,4,7,5,4,3,8,6,4,3,7,2,2,3,5,3,5,6,6,5,5,5,6,5,5,5,6,7,7,5,5,6,5,3,2,6,6,7,6,6,6,6,4,7,6,5,5,5,6,6,6,6,6,6,7,7,6,7,1,7,6,7,7,6,3,8,2,3,2,2,6,5,6,2,5,6,5,3,4,1,5,6,6,6,7,5,5,2,6,5,5,7
6,1,1,1,52,52,1,4,9,3,4,2,8,10,9,9,9,4,3,4,6,6,7,7,6,5,7,5,1,2,1,1,1,2,1,2,2,1,1,2,1,2,1,2,9,10,4,7,5,7,9,6,9,10,8,10,8,10,9,4,6,9,5,6,7,7,6,7,7,7,7,7,5,7,7,5,6,7,5,10,8,5,7,7,7,5,7,6,6,6,6,7,7,6,7,5,7,5,6,6,7,7,7,5,4,4,7,6,5,6,9,10,7,5,7,7,7,4,5,7,6,6,6,6,7,5,7,6,6,5,7,5,7,5,7,6,6,7
7,1,1,2,183,52,3,1,7,5,0,6,6,9,8,3,1,8,4,4,4,2,6,5,7,6,6,7,1,1,2,1,2,1,1,1,2,1,2,1,2,1,1,2,7,10,5,3,10,7,8,10,9,8,10,5,6,5,10,2,6,6,5,7,4,6,7,6,4,7,7,6,4,5,6,7,3,5,7,8,10,5,6,6,5,7,3,6,7,5,7,7,7,5,6,7,6,6,7,3,6,7,6,6,5,6,7,7,3,7,6,10,5,6,7,7,7,7,5,5,6,6,7,6,5,7,7,3,6,4,4,6,7,7,7,7,6,7
8,1,2,4,52,52,3,3,5,12,0,2,9,10,1,5,5,6,2,2,1,1,1,6,4,6,6,3,2,2,1,1,1,1,1,2,2,1,2,1,1,2,2,2,7,6,6,6,6,6,6,6,6,6,6,6,8,6,8,7,7,5,5,7,7,6,5,5,4,4,7,7,7,7,7,4,5,4,4,1,1,6,4,5,6,4,5,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,1,7,7,1,7,1,10,1,1,1,1,1,1,1,1,1,1,4,7,5,1,4,6,7,4,4,7,7,7,7,4,4,7
9,1,1,2,52,52,3,1,7,12,3,5,9,8,8,8,7,8,3,2,4,6,4,5,3,4,2,5,2,2,2,2,1,1,2,1,1,2,1,2,2,1,1,2,8,7,3,5,8,8,8,7,9,8,6,8,9,7,7,3,6,8,5,5,5,6,5,6,5,7,5,6,3,4,5,6,5,6,5,7,8,4,5,6,6,4,6,5,5,6,6,5,5,6,6,6,4,7,5,6,5,5,5,6,7,5,4,4,6,3,6,8,5,4,5,3,5,4,6,6,6,5,3,6,5,5,4,5,5,7,7,5,4,6,4,6,6,7
10,1,1,5,52,52,2,1,7,1,0,6,10,10,1,6,3,7,2,2,2,7,2,6,6,2,4,6,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,7,7,6,9,4,6,9,2,10,3,2,3,5,5,2,4,7,7,5,7,7,4,7,2,2,4,7,4,4,6,7,6,5,6,1,8,2,7,1,6,7,7,1,2,1,2,1,1,7,7,6,4,7,7,7,7,6,5,4,7,2,1,6,3,7,6,10,1,1,6,2,1,1,1,2,6,1,4,5,5,2,1,1,7,5,4,1,7,7,6,7,6,2,7
