Age,Gender,Occupation,Days_Indoors,Growing_Stress,Quarantine_Frustrations,Changes_Habits,Mental_Health_History,Weight_Change,Mood_Swings,Coping_Struggles,Work_Interest,Social_Weakness
20-25,Female,Corporate,1-14 Days,Yes,Yes,No,Yes,Yes,Medium,No,No,Yes
30+,Male,Others,31-60 Days,Yes,Yes,Maybe,No,No,High,No,No,Yes
30+,Female,Student,Go Out Every Day,No,No,Yes,No,No,Medium,Yes,Maybe,No
25-30,Male,Others,1-14 Days,Yes,No,Maybe,No,Maybe,Medium,No,Maybe,Yes
16-20,Female,Student,More Than 2 Months,Yes,Yes,Yes,No,Yes,Medium,Yes,Maybe,No
25-30,Male,Housewife,More Than 2 Months,No,Yes,Yes,Yes,Yes,Medium,No,Maybe,Maybe
16-20,Female,Business,Go Out Every Day,Yes,Yes,Maybe,No,Yes,Low,No,Maybe,Maybe
25-30,Female,Student,1-14 Days,Yes,No,Maybe,Maybe,Maybe,High,No,No,Yes
30+,Male,Others,Go Out Every Day,Yes,Yes,Yes,No,Yes,Medium,Yes,Maybe,Maybe
20-25,Male,Corporate,Go Out Every Day,Maybe,Maybe,Yes,Yes,Yes,Low,No,Maybe,No
16-20,Male,Others,31-60 Days,No,Maybe,No,Maybe,No,Low,No,Maybe,Yes
30+,Female,Business,More Than 2 Months,Yes,Yes,No,No,Yes,High,No,No,Maybe
25-30,Male,Others,15-30 Days,Maybe,Yes,No,Yes,Yes,Medium,No,Maybe,No
30+,Female,Housewife,15-30 Days,Yes,Yes,Yes,No,No,Low,Yes,No,Maybe
30+,Female,Housewife,1-14 Days,No,No,No,Maybe,Maybe,Medium,No,No,Maybe
16-20,Male,Corporate,More Than 2 Months,No,No,Maybe,Yes,Maybe,Medium,No,No,Maybe
16-20,Female,Student,1-14 Days,Yes,Yes,Maybe,No,Yes,Medium,No,No,No
25-30,Female,Others,More Than 2 Months,Yes,Yes,Maybe,Maybe,Maybe,Medium,Yes,Maybe,Yes
30+,Male,Student,31-60 Days,Maybe,No,Maybe,No,Yes,Medium,Yes,Yes,Maybe
16-20,Female,Student,1-14 Days,Yes,Yes,Yes,No,Yes,High,No,Yes,Maybe
30+,Female,Housewife,Go Out Every Day,No,Maybe,No,No,Maybe,Medium,Yes,Yes,Maybe
16-20,Male,Housewife,15-30 Days,No,Maybe,No,Yes,No,High,No,Maybe,No
30+,Female,Student,31-60 Days,Yes,Maybe,No,Maybe,No,Medium,Yes,No,Maybe
16-20,Female,Student,1-14 Days,No,Yes,Maybe,Yes,No,Low,No,Yes,Yes
20-25,Female,Business,More Than 2 Months,Maybe,No,Maybe,No,Yes,Medium,Yes,Yes,No
30+,Female,Housewife,1-14 Days,Yes,Maybe,Maybe,Yes,Yes,Low,Yes,Maybe,Yes
30+,Male,Student,15-30 Days,Yes,Maybe,No,Maybe,Maybe,Medium,No,Yes,Maybe
20-25,Male,Student,1-14 Days,Yes,No,Maybe,No,Maybe,High,Yes,Maybe,No
20-25,Female,Others,1-14 Days,Yes,Yes,Maybe,Maybe,Yes,High,Yes,No,Yes
30+,Female,Student,31-60 Days,No,Yes,No,Yes,No,Low,No,No,Maybe
30+,Male,Business,More Than 2 Months,Yes,Maybe,No,Maybe,Maybe,Medium,No,Maybe,Yes
30+,Female,Corporate,Go Out Every Day,Maybe,Maybe,No,Maybe,Maybe,Medium,No,No,Yes
25-30,Female,Business,1-14 Days,Yes,No,No,No,Yes,Medium,No,No,Maybe
20-25,Female,Business,15-30 Days,Maybe,Yes,No,No,No,Low,No,No,No
16-20,Female,Student,Go Out Every Day,Maybe,No,Maybe,Yes,Maybe,High,Yes,No,Yes
