ID,fear of infection,difficulty in outside activities,economic loss,disturbance in eating and sleeping,adaptive stress,perception of stress
1,32,21,7,11.0,15,18
2,31,29,8,12.0,16,21
3,36,25,8,12.0,16,22
4,39,25,6,6.0,11,23
5,29,23,8,11.0,10,24
6,18,20,5,7.0,12,18
7,37,26,9,11.0,15,17
8,33,21,9,8.0,10,24
9,37,24,7,7.0,18,20
10,37,24,8,9.0,9,22
11,11,23,8,9.0,7,16
12,24,20,7,5.0,7,20
13,30,20,2,3.0,4,6
14,41,27,9,12.0,17,21
15,29,22,6,7.0,8,14
16,24,19,10,6.0,12,14
17,30,27,4,4.0,11,16
18,38,21,3,6.0,8,26
19,36,25,8,12.0,9,26
20,28,23,8,11.0,10,16
21,37,29,7,11.0,12,22
22,44,28,10,8.0,17,19
23,29,23,8,9.0,11,21
24,42,28,7,7.0,6,20
25,9,10,10,3.0,6,18
26,36,27,7,12.0,15,14
27,41,28,9,11.0,15,12
28,30,21,7,10.0,12,15
29,27,22,6,10.0,13,19
30,36,24,3,9.0,9,16
31,39,24,9,13.0,13,21
32,27,22,6,9.0,12,20
33,36,23,7,10.0,13,17
34,42,29,9,12.0,14,22
35,31,21,9,8.0,9,13
36,29,25,8,10.0,13,17
37,32,26,10,5.0,11,19
38,42,23,10,13.0,16,17
39,35,27,10,11.0,18,18
40,29,13,2,3.0,5,12
41,19,23,2,6.0,8,12
42,26,15,6,3.0,10,19
43,38,27,9,9.0,15,22
44,36,27,7,7.0,16,17
45,21,24,4,4.0,5,12
46,41,28,10,10.0,16,23
47,30,25,5,9.0,10,25
48,36,22,7,10.0,13,23
49,20,23,9,7.0,5,4
50,29,25,10,10.0,9,13
51,30,22,5,7.0,10,20
52,34,21,5,7.0,13,22
53,36,21,5,7.0,12,22
54,36,24,6,10.0,14,27
55,37,26,9,11.0,18,17
56,31,27,3,9.0,10,15
57,28,24,4,8.0,9,17
58,28,23,6,10.0,11,17
59,45,30,10,7.0,12,0
60,29,24,6,10.0,9,19
61,40,24,4,9.0,14,22
62,35,23,6,7.0,8,19
63,33,25,2,11.0,10,16
64,25,26,2,6.0,8,18
65,35,21,9,10.0,12,14
66,30,25,10,10.0,10,20
67,35,22,4,8.0,8,15
68,40,21,7,6.0,4,9
69,36,27,6,11.0,8,20
70,40,26,6,12.0,19,17
71,35,25,6,11.0,9,17
72,27,21,6,6.0,13,17
73,25,23,3,6.0,11,15
74,37,21,5,6.0,12,16
75,35,24,2,6.0,8,9
76,39,27,3,11.0,8,18
77,35,28,7,7.0,11,14
78,27,28,10,12.0,13,23
79,32,23,5,7.0,14,19
80,40,27,10,8.0,13,15
81,37,30,10,12.0,15,26
82,25,23,10,8.0,12,16
83,36,29,6,6.0,12,20
84,31,22,6,6.0,12,19
85,28,26,8,8.0,8,24
86,28,23,2,7.0,4,22
87,26,20,6,7.0,10,18
88,40,26,6,9.0,12,17
89,43,28,8,12.0,20,21
90,35,25,7,6.0,8,25
91,15,19,7,6.0,8,13
92,31,15,4,5.0,5,23
93,33,22,8,11.0,16,21
94,35,22,9,10.0,12,19
95,36,28,9,14.0,16,19
96,45,26,10,11.0,20,21
97,43,28,9,13.0,19,24
98,33,27,2,4.0,5,21
99,31,22,9,8.0,12,20
100,30,26,10,11.0,14,16
101,30,30,7,7.0,12,25
102,32,28,10,11.0,12,23
103,29,17,8,7.0,4,15
104,41,26,7,8.0,10,16
105,33,27,6,7.0,11,22
106,45,30,10,12.0,18,30
107,27,27,9,11.0,15,16
108,28,22,5,6.0,8,16
109,29,27,2,6.0,12,10
110,35,29,9,10.0,15,19
111,24,20,3,6.0,8,9
112,28,21,7,7.0,13,17
113,33,21,4,10.0,9,10
114,26,21,5,6.0,9,11
115,37,23,6,7.0,11,15
116,38,21,4,4.0,12,18
117,38,29,8,12.0,7,21
118,41,27,8,10.0,14,21
119,36,27,5,9.0,9,15
120,38,17,4,7.0,11,17
121,33,27,2,6.0,10,25
122,28,29,2,3.0,5,8
123,36,26,8,14.0,13,20
124,40,29,6,9.0,15,19
125,41,30,10,15.0,16,17
126,14,22,4,6.0,5,6
127,33,26,5,6.0,7,12
128,43,30,10,11.0,19,27
129,36,25,4,7.0,12,20
130,36,21,3,5.0,8,21
131,35,28,8,12.0,16,21
132,36,26,7,10.0,7,7
133,29,28,10,5.0,7,20
134,41,26,8,10.0,10,24
135,27,22,5,6.0,8,21
136,29,23,2,9.0,9,21
137,30,25,6,7.0,8,16
138,43,27,5,11.0,15,13
139,39,26,8,3.0,12,28
140,38,27,5,6.0,10,32
141,38,27,8,8.0,12,19
142,40,26,7,9.0,14,20
143,36,21,8,12.0,15,20
144,32,23,8,5.0,12,17
145,34,30,9,14.0,17,22
146,44,30,10,3.0,20,21
147,27,22,3,6.0,8,12
148,37,21,4,6.0,17,15
149,36,23,5,12.0,10,8
150,9,15,2,3.0,4,6
151,38,30,8,15.0,8,20
152,34,25,8,11.0,13,14
153,35,22,7,12.0,16,17
154,35,21,3,3.0,10,11
155,21,19,9,3.0,4,8
156,23,22,10,6.0,6,21
157,36,28,7,10.0,13,14
158,35,25,9,13.0,15,21
159,18,21,7,7.0,11,24
160,27,27,10,7.0,7,28
161,34,21,10,7.0,13,18
162,34,25,7,9.0,14,18
163,32,25,8,10.0,10,18
164,32,20,3,7.0,8,26
165,26,17,5,10.0,13,19
166,27,27,10,8.0,15,17
167,45,30,10,15.0,10,36
168,29,23,5,9.0,13,16
169,29,27,8,5.0,10,15
170,37,30,9,11.0,10,17
171,34,25,7,7.0,13,17
172,45,22,10,6.0,8,17
173,28,23,2,5.0,6,5
174,29,20,2,4.0,8,16
175,31,25,10,11.0,12,25
176,27,29,9,15.0,9,20
177,35,29,7,7.0,14,13
178,20,13,8,3.0,6,18
179,33,23,8,9.0,13,21
180,39,23,6,12.0,10,15
181,36,27,9,10.0,13,18
182,27,25,5,7.0,7,15
183,33,24,10,9.0,10,25
184,26,27,6,7.0,8,19
185,37,25,10,10.0,12,21
186,33,25,6,7.0,11,17
187,35,19,2,7.0,4,21
188,34,25,3,10.0,12,16
189,36,24,7,9.0,14,24
190,40,24,5,10.0,14,20
191,42,28,7,10.0,13,23
192,35,28,6,12.0,11,20
193,33,23,8,8.0,12,18
194,40,28,8,12.0,16,20
195,43,26,4,11.0,17,23
196,44,23,8,14.0,10,17
197,33,24,9,8.0,11,22
198,26,22,10,9.0,13,16
199,44,30,10,12.0,14,26
200,23,22,10,10.0,14,17
201,35,26,10,9.0,8,14
202,28,18,7,8.0,13,16
203,35,27,10,13.0,12,26
204,42,25,8,7.0,8,15
205,39,28,8,7.0,12,22
206,33,25,6,10.0,13,17
207,42,28,10,9.0,14,23
208,31,22,6,11.0,12,19
209,39,28,10,7.0,5,23
210,35,23,9,10.0,14,15
211,23,18,8,6.0,8,12
212,36,27,10,9.0,9,21
213,21,16,5,7.0,9,19
214,27,23,10,9.0,13,22
215,32,22,7,8.0,15,21
216,32,21,4,7.0,9,19
217,34,19,6,8.0,11,22
218,32,29,2,9.0,14,16
219,22,25,7,9.0,4,19
220,35,25,6,8.0,11,15
221,28,23,8,6.0,7,15
222,34,21,6,9.0,12,17
223,29,18,6,9.0,12,16
224,36,24,7,7.0,14,18
225,25,27,7,5.0,11,12
226,45,30,10,15.0,16,33
227,21,20,4,8.0,6,19
228,15,10,2,3.0,6,18
229,27,21,7,7.0,12,19
230,36,24,10,7.0,15,20
231,39,29,10,10.0,18,27
232,39,26,6,7.0,9,22
233,38,26,7,10.0,18,20
234,40,28,7,10.0,15,23
235,25,22,10,10.0,9,21
236,26,16,2,5.0,8,8
237,42,24,8,9.0,14,20
238,40,24,10,8.0,13,28
239,28,18,6,9.0,13,18
240,29,19,8,8.0,10,17
241,42,23,10,10.0,18,27
242,34,24,9,12.0,12,20
243,45,25,4,6.0,8,17
244,36,21,3,6.0,6,15
245,35,24,7,10.0,15,15
246,33,27,6,9.0,11,23
247,31,25,6,8.0,12,10
248,35,22,6,9.0,14,20
249,34,27,8,10.0,15,24
250,31,25,8,8.0,11,16
251,38,28,8,12.0,16,12
252,44,27,8,7.0,9,11
253,33,24,9,11.0,13,18
254,45,29,10,10.0,17,20
255,28,29,8,8.0,9,24
256,26,21,3,7.0,9,9
257,27,24,5,8.0,11,12
258,34,27,7,9.0,13,21
259,26,21,4,9.0,8,14
260,37,23,8,7.0,8,22
261,44,26,10,11.0,16,31
262,29,24,10,11.0,14,21
263,39,28,5,10.0,13,19
264,29,24,7,5.0,10,16
265,40,23,7,8.0,13,16
266,33,24,8,11.0,16,18
267,43,30,10,12.0,16,24
268,34,24,8,9.0,15,21
269,36,18,5,6.0,4,14
270,27,28,10,5.0,10,22
271,31,18,4,4.0,8,16
272,20,14,3,5.0,6,9
273,35,21,6,9.0,12,19
274,23,18,6,6.0,9,18
275,25,16,6,8.0,16,17
276,38,25,6,10.0,11,22
277,36,21,8,7.0,11,22
278,17,27,3,5.0,4,14
279,22,23,8,9.0,11,17
280,39,26,10,12.0,14,23
281,37,26,8,11.0,17,21
282,27,28,10,13.0,4,12
283,28,24,9,9.0,12,20
284,26,24,9,7.0,10,9
285,30,20,6,9.0,10,15
286,42,27,6,9.0,15,26
287,39,25,8,9.0,15,17
288,27,22,7,11.0,12,17
289,40,26,10,13.0,17,29
290,32,22,6,12.0,13,23
291,28,24,6,8.0,11,15
292,38,22,10,4.0,6,20
293,18,17,9,5.0,5,10
294,30,16,4,7.0,9,16
295,30,23,10,10.0,8,17
296,31,23,4,10.0,11,13
297,27,27,6,11.0,4,17
298,36,25,8,9.0,15,22
299,36,28,8,3.0,8,29
300,34,17,6,5.0,12,19
301,22,26,3,8.0,4,21
302,31,23,4,11.0,7,12
303,37,21,7,7.0,9,19
304,25,17,7,8.0,10,14
305,31,18,5,7.0,9,19
306,25,21,8,4.0,10,10
307,32,24,8,13.0,15,21
308,37,30,5,11.0,12,14
309,29,18,6,9.0,15,26
310,41,30,2,10.0,8,16
311,36,24,8,12.0,13,22
312,37,26,6,13.0,10,17
313,42,28,7,8.0,15,25
314,44,28,9,10.0,11,19
315,30,23,8,9.0,12,17
316,43,30,7,14.0,14,27
317,38,25,6,8.0,12,16
318,26,19,7,6.0,8,26
319,30,23,8,7.0,9,13
320,45,28,10,13.0,16,24
321,29,25,4,8.0,12,15
322,32,24,3,8.0,7,17
323,40,27,10,12.0,18,21
324,45,26,7,12.0,15,22
325,29,18,8,6.0,7,14
326,45,30,10,12.0,20,21
327,33,26,5,6.0,10,26
328,41,28,6,8.0,15,21
329,28,21,2,4.0,10,16
330,36,23,8,12.0,16,18
331,41,25,8,13.0,19,19
332,34,26,7,7.0,12,22
333,36,24,3,4.0,9,12
334,26,22,4,6.0,6,10
335,36,22,5,7.0,8,22
336,36,27,9,9.0,14,22
337,42,29,6,15.0,9,16
338,13,23,8,5.0,10,11
339,40,26,5,5.0,7,24
340,25,18,7,8.0,9,13
341,43,30,8,7.0,12,22
342,34,26,7,8.0,13,22
343,44,29,10,12.0,13,18
344,34,23,4,5.0,11,17
345,31,15,8,7.0,6,12
346,39,17,7,6.0,6,26
347,28,22,6,6.0,12,21
348,37,26,6,9.0,7,21
349,43,30,10,15.0,17,28
350,38,23,8,6.0,14,24
351,30,24,7,9.0,12,20
352,27,23,6,6.0,9,9
353,21,24,4,10.0,9,19
354,25,20,5,8.0,11,17
355,37,24,5,8.0,10,19
356,38,28,8,6.0,8,18
357,34,25,6,11.0,13,24
358,27,28,10,9.0,18,17
359,37,22,8,11.0,11,20
360,41,23,4,3.0,7,11
361,26,26,10,11.0,8,16
362,34,24,8,9.0,13,22
363,35,24,4,8.0,11,18
364,41,24,9,6.0,9,19
365,44,25,8,12.0,11,18
366,36,23,8,12.0,14,17
367,32,24,6,10.0,10,16
368,39,29,10,12.0,12,29
369,35,29,5,13.0,16,28
370,30,25,5,7.0,15,17
371,29,25,7,10.0,13,17
372,30,22,7,14.0,15,17
373,22,22,9,6.0,10,15
374,29,21,5,9.0,14,19
375,34,25,8,11.0,11,22
376,43,30,10,10.0,17,19
377,27,25,10,6.0,9,15
378,31,22,8,12.0,9,21
379,31,21,6,9.0,11,18
380,39,22,8,8.0,10,19
381,36,20,7,8.0,9,10
382,29,28,5,12.0,12,17
383,36,25,7,6.0,8,10
384,37,24,10,12.0,8,14
385,29,28,5,6.0,10,18
386,29,23,2,7.0,7,11
387,29,20,4,6.0,8,18
388,35,26,10,10.0,12,24
389,37,24,5,11.0,11,25
390,39,29,9,13.0,15,22
391,35,29,6,11.0,16,19
392,30,24,3,3.0,7,19
393,39,22,6,6.0,14,21
394,39,25,8,8.0,8,12
395,35,27,8,3.0,8,18
396,37,27,7,9.0,12,22
397,36,28,10,10.0,15,22
398,36,27,3,8.0,11,23
399,20,20,4,5.0,8,12
400,30,23,7,8.0,10,19
401,33,22,9,10.0,13,21
402,30,26,10,12.0,11,24
403,27,24,7,10.0,12,14
404,24,30,5,9.0,11,17
405,29,29,4,6.0,7,10
406,27,20,8,8.0,6,18
407,45,24,10,10.0,13,23
408,40,28,10,14.0,15,21
409,44,27,6,10.0,13,19
410,26,26,6,7.0,7,25
411,20,21,5,7.0,4,12
412,42,29,8,11.0,17,21
413,38,30,10,12.0,17,24
414,35,20,7,6.0,9,17
415,36,24,8,10.0,16,11
416,26,27,10,6.0,14,13
417,30,23,8,11.0,14,18
418,31,22,8,11.0,14,19
419,15,28,9,12.0,13,14
420,26,19,3,6.0,7,14
421,45,26,10,7.0,11,15
422,31,24,10,13.0,13,18
423,45,30,10,15.0,16,28
424,30,27,8,12.0,12,17
425,18,27,2,3.0,4,10
426,34,28,7,12.0,12,23
427,39,22,9,9.0,8,18
428,45,30,6,13.0,17,19
429,30,27,7,11.0,10,18
430,43,27,10,9.0,12,14
431,32,24,5,11.0,10,13
432,40,30,5,9.0,12,19
433,38,23,10,7.0,14,21
434,22,22,7,11.0,11,25
435,33,26,8,10.0,12,18
436,42,26,7,5.0,13,17
437,31,22,9,9.0,12,20
438,33,25,9,9.0,10,19
439,40,30,7,12.0,13,22
440,31,20,4,7.0,7,17
441,9,24,8,3.0,4,18
442,30,24,7,7.0,9,16
443,34,28,4,10.0,8,25
444,24,24,6,11.0,8,20
445,29,22,6,7.0,7,17
446,29,22,7,13.0,12,16
447,27,18,6,6.0,9,16
448,32,23,4,7.0,6,11
449,30,27,6,12.0,10,20
450,32,26,10,10.0,13,21
451,9,21,6,11.0,8,18
452,19,27,7,15.0,10,31
453,34,24,10,10.0,8,17
454,15,21,6,6.0,11,18
455,37,19,9,5.0,4,7
456,37,25,5,11.0,7,17
457,37,30,9,8.0,11,26
458,27,27,10,8.0,13,21
459,36,23,7,6.0,11,19
460,25,22,7,9.0,12,14
461,34,19,5,7.0,9,15
462,25,28,9,8.0,12,19
463,32,23,4,6.0,9,18
464,31,18,5,7.0,9,22
465,27,21,8,6.0,12,18
466,37,28,9,13.0,17,18
467,29,20,7,8.0,13,19
468,32,25,6,5.0,8,17
469,39,24,9,9.0,10,17
470,30,21,10,10.0,14,19
471,33,24,2,3.0,6,19
472,31,28,7,13.0,13,19
473,40,30,9,15.0,14,21
474,34,29,10,12.0,12,25
475,29,21,5,8.0,9,17
476,45,29,10,6.0,17,18
477,32,23,2,3.0,5,18
478,32,21,7,6.0,9,17
479,43,24,10,6.0,12,27
480,27,22,6,6.0,7,19
481,35,23,5,12.0,8,15
482,21,26,8,8.0,12,22
483,29,28,7,9.0,5,16
484,21,25,9,7.0,7,25
485,35,25,6,9.0,13,26
486,36,29,10,14.0,18,17
487,31,25,8,13.0,7,16
488,37,22,2,3.0,10,24
489,32,26,9,9.0,11,15
490,24,16,6,8.0,8,21
491,41,30,10,5.0,8,11
492,31,22,4,7.0,12,15
493,35,18,2,3.0,6,12
494,33,21,4,7.0,9,10
495,30,26,7,13.0,10,24
496,43,30,6,9.0,14,19
497,39,28,7,10.0,11,19
498,35,24,10,8.0,12,19
499,37,25,6,8.0,11,19
500,23,23,7,9.0,11,16
501,22,22,5,7.0,12,18
502,28,26,2,4.0,5,10
503,31,18,8,6.0,11,22
504,35,27,10,7.0,14,18
505,39,24,9,9.0,16,20
506,39,25,9,3.0,13,25
507,14,18,2,5.0,4,11
508,31,24,6,10.0,12,17
509,32,24,7,10.0,11,22
510,39,27,10,10.0,13,32
511,21,27,10,12.0,4,14
512,30,23,7,8.0,10,15
513,27,25,5,6.0,8,13
514,27,14,4,8.0,9,19
515,35,26,10,14.0,12,15
516,25,23,3,5.0,10,13
517,33,25,6,8.0,11,19
518,28,26,7,9.0,12,14
519,36,23,8,12.0,15,20
520,37,27,3,8.0,10,11
521,45,25,8,8.0,10,16
522,44,26,8,9.0,13,20
523,34,27,7,8.0,10,15
524,43,29,5,9.0,20,18
525,41,21,7,8.0,13,17
526,31,23,6,6.0,9,14
527,39,20,5,9.0,11,18
528,32,27,6,8.0,12,12
529,37,23,8,9.0,10,17
530,35,23,10,7.0,8,27
531,42,27,9,11.0,16,20
532,39,24,9,9.0,7,10
533,29,26,5,5.0,11,11
534,43,26,8,8.0,11,18
535,30,17,6,7.0,10,25
536,33,21,5,8.0,11,19
537,38,28,7,9.0,15,17
538,41,22,7,8.0,18,26
539,32,16,8,4.0,7,23
540,35,29,10,13.0,14,22
541,36,21,8,8.0,12,10
542,36,26,9,9.0,6,13
543,28,27,8,6.0,9,19
544,40,28,9,11.0,15,18
545,28,20,3,7.0,8,20
546,32,20,7,7.0,11,15
547,27,15,4,7.0,8,16
548,41,28,8,13.0,15,26
549,35,24,9,9.0,12,21
550,20,22,5,7.0,10,16
551,45,25,6,8.0,12,17
552,34,26,10,10.0,13,24
553,28,19,5,6.0,8,18
554,37,27,8,8.0,7,22
555,29,23,5,3.0,9,22
556,39,26,9,8.0,11,9
557,26,22,3,7.0,8,11
558,29,27,3,5.0,4,14
559,30,19,5,3.0,10,12
560,22,13,5,6.0,8,18
561,43,25,6,9.0,13,23
562,45,30,8,10.0,20,20
563,26,19,2,3.0,8,14
564,39,24,9,6.0,15,17
565,39,23,6,12.0,14,17
566,26,16,7,9.0,12,18
567,22,19,2,3.0,5,17
568,41,26,10,11.0,12,29
569,43,26,5,4.0,9,17
570,22,18,6,7.0,7,15
571,29,20,8,11.0,13,12
572,23,14,5,9.0,9,13
573,31,23,7,14.0,9,26
574,40,25,6,9.0,12,19
575,41,29,8,12.0,14,17
576,33,28,3,9.0,10,8
577,32,19,8,8.0,11,15
578,25,18,4,4.0,6,18
579,43,27,8,10.0,12,22
580,38,20,6,9.0,10,14
581,29,21,6,7.0,8,27
582,32,22,4,8.0,14,17
583,30,21,7,9.0,14,16
584,39,28,4,12.0,8,17
585,36,24,8,9.0,12,19
586,36,24,6,10.0,14,20
587,34,17,4,4.0,6,14
588,41,25,7,11.0,16,17
589,30,25,4,8.0,7,19
590,20,27,5,10.0,8,21
591,27,20,6,9.0,12,18
592,37,22,4,4.0,9,15
593,26,26,2,5.0,4,13
594,30,17,7,10.0,12,19
595,28,28,6,6.0,10,23
596,33,20,2,3.0,4,13
597,34,23,6,12.0,11,18
598,38,22,8,7.0,12,20
599,33,26,9,8.0,12,19
600,40,26,8,10.0,18,21
601,38,16,8,9.0,10,22
602,36,25,7,10.0,15,21
603,23,23,8,6.0,10,15
604,27,19,6,9.0,12,19
605,35,25,4,8.0,8,21
606,32,22,4,9.0,12,18
607,27,22,5,5.0,10,14
608,37,27,8,11.0,20,21
609,31,24,4,9.0,8,18
610,13,10,3,4.0,4,0
611,38,25,6,10.0,13,15
612,34,24,10,6.0,12,23
613,21,20,8,3.0,7,11
614,37,28,10,10.0,11,22
615,29,23,8,7.0,9,18
616,32,27,4,6.0,11,15
617,42,27,10,12.0,15,22
618,40,19,7,3.0,11,14
619,37,24,6,6.0,11,14
620,27,22,2,3.0,6,13
621,29,23,7,8.0,12,15
622,43,24,9,7.0,11,20
623,31,21,4,6.0,8,10
624,21,23,7,7.0,11,13
625,24,28,10,6.0,10,19
626,35,26,5,10.0,14,17
627,43,27,8,11.0,10,22
628,22,23,10,9.0,11,19
629,28,25,8,11.0,15,16
630,27,22,7,10.0,14,17
631,26,18,5,5.0,8,17
632,31,20,8,8.0,14,20
633,35,25,7,9.0,14,16
634,40,29,9,12.0,16,27
635,29,18,5,6.0,9,17
636,40,21,8,8.0,12,17
637,16,20,8,6.0,5,19
638,34,19,5,10.0,11,15
639,29,21,2,5.0,9,21
640,35,25,8,6.0,9,21
641,35,25,8,8.0,12,12
642,35,25,6,5.0,10,25
643,30,15,3,3.0,8,18
644,41,22,10,3.0,11,24
645,21,21,4,6.0,9,11
646,25,28,10,11.0,9,15
647,30,22,6,10.0,11,25
648,38,25,5,8.0,12,17
649,27,21,6,10.0,12,18
650,35,22,5,9.0,13,22
651,25,22,7,11.0,10,16
652,18,24,5,5.0,7,13
653,45,23,8,9.0,17,20
654,32,25,10,8.0,13,20
655,45,29,7,3.0,7,28
656,37,28,4,8.0,11,20
657,45,28,8,12.0,18,20
658,41,24,6,10.0,5,13
659,39,26,6,9.0,8,23
660,30,23,6,9.0,10,20
661,30,12,4,3.0,4,18
662,44,29,6,10.0,13,21
663,25,19,7,6.0,10,14
664,42,28,8,10.0,18,23
665,38,24,7,8.0,12,19
666,24,6,2,3.0,4,8
667,31,19,9,3.0,8,15
668,27,25,5,12.0,9,26
669,36,29,10,13.0,12,32
670,39,29,9,13.0,19,16
671,37,25,4,5.0,8,12
672,32,23,3,8.0,11,20
673,31,21,7,8.0,10,22
674,23,18,6,4.0,8,12
675,35,18,6,6.0,12,20
676,40,29,10,13.0,17,25
677,33,24,8,8.0,10,19
678,32,23,2,3.0,6,10
679,27,23,3,6.0,8,16
680,24,14,8,3.0,10,15
681,32,18,6,8.0,8,20
682,39,26,9,13.0,14,17
683,36,22,10,10.0,10,19
684,27,25,6,6.0,11,10
685,40,24,7,10.0,16,28
686,21,24,6,8.0,11,20
687,37,23,7,12.0,16,17
688,42,24,8,11.0,9,22
689,27,23,3,7.0,7,16
690,35,23,6,9.0,9,24
691,38,23,4,11.0,14,18
692,43,28,8,7.0,14,21
693,28,21,3,4.0,9,20
694,40,29,8,6.0,13,27
695,45,28,9,10.0,18,29
696,22,14,2,3.0,4,24
697,32,19,7,7.0,16,21
698,36,25,8,10.0,13,21
699,33,28,8,9.0,12,23
700,29,21,10,7.0,8,14
701,34,30,2,7.0,14,14
702,26,19,2,3.0,4,11
703,32,21,7,9.0,12,15
704,23,25,7,6.0,13,19
705,36,26,6,12.0,7,9
706,31,29,6,8.0,13,17
707,29,24,8,11.0,9,20
708,33,26,5,7.0,8,19
709,39,28,9,11.0,7,15
710,25,23,6,8.0,12,24
711,21,24,9,12.0,7,17
712,33,23,7,9.0,14,21
713,44,25,8,8.0,11,21
714,34,21,8,3.0,9,9
715,34,24,8,10.0,15,20
716,33,26,3,3.0,11,6
717,27,23,4,5.0,6,17
718,33,23,6,6.0,13,13
719,25,19,10,6.0,14,10
720,24,19,6,7.0,11,16
721,30,19,5,8.0,10,21
722,31,20,7,9.0,10,14
723,13,14,2,3.0,4,13
724,28,18,9,9.0,10,17
725,35,24,8,10.0,14,16
726,34,23,9,11.0,15,20
727,39,26,4,6.0,9,17
728,40,25,6,11.0,10,16
729,34,20,7,10.0,10,17
730,40,27,5,6.0,11,15
731,39,23,9,8.0,14,23
732,42,23,8,4.0,8,14
733,25,22,3,9.0,10,17
734,28,17,6,10.0,11,19
735,37,16,4,6.0,5,13
736,27,25,8,8.0,11,14
737,26,20,6,10.0,8,15
738,36,25,3,4.0,11,14
739,32,19,6,6.0,8,19
740,33,25,4,12.0,14,20
741,34,21,5,6.0,10,16
742,31,24,8,12.0,7,20
743,44,23,5,8.0,11,18
744,38,26,9,10.0,11,23
745,30,27,6,7.0,11,18
746,42,24,8,7.0,16,22
747,30,19,6,5.0,4,18
748,40,25,7,5.0,9,14
749,36,26,6,10.0,11,22
750,45,26,10,15.0,20,0
751,45,30,8,12.0,19,22
752,36,22,5,6.0,6,15
753,33,27,4,5.0,8,18
754,39,29,8,7.0,10,18
755,30,28,4,7.0,10,17
756,41,24,9,8.0,11,23
757,34,19,4,5.0,6,15
758,13,12,4,7.0,4,19
759,20,27,4,7.0,9,19
760,32,18,8,8.0,8,16
761,30,20,3,3.0,9,21
762,32,24,6,8.0,8,13
763,45,26,8,8.0,8,16
764,42,28,4,9.0,14,19
765,35,28,5,6.0,11,12
766,44,29,6,7.0,14,18
767,9,26,9,10.0,5,11
768,39,28,10,5.0,7,21
769,31,29,10,6.0,13,27
770,27,23,8,8.0,11,18
771,30,25,2,4.0,6,16
772,38,26,9,7.0,9,22
773,18,22,9,10.0,9,18
774,41,27,10,9.0,15,26
775,35,25,10,13.0,14,21
776,37,27,6,11.0,8,19
777,40,28,8,3.0,10,19
778,40,28,7,9.0,14,19
779,21,21,7,8.0,12,18
780,29,26,6,7.0,12,24
781,40,26,9,10.0,9,20
782,32,27,7,8.0,13,12
783,36,25,6,7.0,14,23
784,43,29,7,10.0,16,22
785,18,24,10,7.0,10,24
786,37,26,10,9.0,18,25
787,37,24,10,12.0,9,18
788,32,25,8,10.0,10,16
789,31,26,6,6.0,11,25
790,37,27,5,6.0,12,25
791,35,26,3,9.0,8,23
792,30,25,6,5.0,10,17
793,34,30,10,7.0,10,14
794,39,29,8,9.0,14,23
795,37,22,8,7.0,12,17
796,38,25,6,9.0,12,22
797,24,22,8,12.0,9,12
798,44,18,3,4.0,5,18
799,40,28,7,14.0,13,19
800,33,29,8,14.0,6,12
801,45,27,10,8.0,14,23
802,32,21,5,9.0,15,19
803,42,27,4,7.0,11,20
804,36,20,8,8.0,10,21
805,29,23,4,6.0,9,19
806,33,28,3,9.0,7,25
807,31,27,9,9.0,5,18
808,45,27,6,10.0,15,22
809,36,26,7,6.0,16,20
810,27,20,2,8.0,5,23
811,31,28,5,8.0,9,29
812,31,26,8,13.0,8,21
813,45,24,4,9.0,16,15
814,42,29,4,8.0,10,21
815,30,26,5,4.0,6,18
816,37,26,3,6.0,9,10
817,23,19,7,9.0,16,19
818,29,19,4,8.0,8,19
819,42,12,4,6.0,10,19
820,43,22,9,3.0,10,12
821,35,26,3,5.0,5,12
822,33,26,2,3.0,6,21
823,38,26,8,3.0,4,24
824,29,23,3,5.0,4,10
825,24,18,6,5.0,9,16
826,39,29,7,10.0,13,19
827,26,27,9,6.0,7,12
828,45,28,6,8.0,10,27
829,28,30,10,11.0,14,22
830,42,29,10,12.0,19,32
831,38,25,6,5.0,12,16
832,36,25,9,8.0,6,21
833,44,28,7,10.0,10,24
834,34,25,6,9.0,12,17
835,44,27,10,11.0,17,24
836,42,22,6,9.0,13,23
837,43,30,10,9.0,16,24
838,36,30,10,15.0,20,18
839,33,22,8,6.0,13,20
840,18,28,5,4.0,14,22
841,34,27,2,6.0,8,22
842,26,21,6,8.0,11,20
843,36,23,8,10.0,7,22
844,34,25,8,8.0,11,27
845,41,24,8,4.0,11,30
846,43,25,10,10.0,12,20
847,43,29,8,10.0,16,22
848,28,24,9,10.0,9,20
849,38,28,5,9.0,12,21
850,34,26,7,4.0,11,8
851,37,30,2,7.0,9,18
852,39,27,10,8.0,8,22
853,38,28,3,4.0,5,16
854,32,26,8,11.0,14,21
855,33,24,7,12.0,6,19
856,41,28,8,8.0,10,23
857,35,25,9,5.0,12,14
858,44,30,9,13.0,17,12
859,42,29,6,12.0,14,20
860,31,23,4,5.0,8,25
861,45,23,10,11.0,16,20
