age,gender,occupation,economic_status,country,residence_area,marital_status,education,depression_score,anxiety_score,stress_score,sleep_quality,lifestyle_change,frustration,social_isolation,weight_change,mood_swings,coping_struggle,disorder,source_dataset
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
,,,,1,,,,,,,,,,,,,,,abadi
